Number of balls: 100
Mass 1
Radius 0.1
A,     T,    T_dev,     P1,    P2,    P3
201.06192982974676,447.0,1.1049231356141359e-13,300.4094485473335,296.5330242972797,295.3369941473835
226.98006922186255,447.0,8.918341960090482e-14,261.1760031206578,257.3459177280259,259.58706475598484
254.46900494077323,447.0,1.249685819138232e-13,228.06663366339922,230.8411477127265,232.46823090793708
283.5287369864788,447.0,1.2763157211082915e-13,206.45264651248058,203.89821835930647,209.72574118173267
314.1592653589793,447.0,1.432737114062609e-13,187.50513464772067,184.0004749420832,190.64594548909176
346.3605900582747,446.99999999999994,1.4869841713202537e-13,170.79446285244148,169.57429288627227,169.62264358691152
380.132711084365,447.0,9.841241920110211e-14,154.78479815001205,153.20224688675572,156.0031186620926
415.4756284372501,446.99999999999983,1.6844966960592243e-13,139.24114488945784,138.23663762188667,139.21235626420605
452.3893421169302,447.0,1.5114559060545672e-13,127.70287082461329,125.59438139686453,126.76813427733123
490.8738521234052,447.0000000000002,1.981404768918676e-13,117.29377206806156,117.23636752565561,118.24014643801702
530.929158456675,446.99999999999994,1.863570625795311e-13,109.02063039281649,109.84085445291359,111.11586026775838
572.5552611167398,446.99999999999983,1.2618377693784578e-13,100.81732430539165,100.36803400498235,103.02266739001303
615.7521601035994,447.00000000000006,1.6362971904678476e-13,93.77847934616013,94.35568741046104,95.04562430539512
660.519855417254,446.99999999999994,1.5898337598061189e-13,88.31884477566786,86.94214748759828,87.52214301748131
706.8583470577034,447.0,1.1027942898706553e-13,80.68318905951536,80.84431016901448,81.01849918188964
754.7676350249478,447.0,1.8607312339986159e-13,80.60795908145064,76.3735231305561,76.86617298645825
804.247719318987,447.0,1.3243973210904152e-13,71.64926040666904,72.13856235085338,71.31941654699997
855.2985999398212,446.99999999999994,1.5553525084905276e-13,67.1344772284889,66.99463476513446,66.18916347970072
907.9202768874502,446.99999999999994,1.7462380363064852e-13,62.80963766366256,61.02761175559987,61.333581149761834
962.1127501618741,446.99999999999983,1.3039452726323032e-13,59.28330428315723,59.04808977315053,59.58270664059051
1017.8760197630929,447.0,1.55342494704978e-13,55.54583276375593,56.30869934325442,56.375745286873816
1075.2100856911068,447.0,1.1379659588905805e-13,53.029511929497865,53.4878457328567,52.889326643080175
1134.1149479459152,446.99999999999983,1.057459829566071e-13,50.429300496144776,50.72143692325294,49.80725659669989
1194.5906065275187,447.0,1.1081750051048244e-13,47.703126291263686,47.14930038536464,48.45891869801321
