Area of container: 314.1592653589793
Mass 1
Radius 0.1
N,     T,    T_dev,     P1,    P2,    P3
1,300.0,0.0,0.9558855440952811,0.9558855440952811,0.9558855440952811
11,422.72727272727224,4.3422534412356226e-13,0.0,0.0,35.517793727918445
21,435.71428571428544,4.677296868353879e-13,35.374230987203404,36.450440620084606,37.7013028783163
31,440.3225806451626,9.14600958338986e-13,54.39485670237533,60.13540984737181,52.00719388853364
41,442.6829268292681,1.8295763634972734e-13,76.5302867347708,70.21142588707903,73.26449374098048
51,444.1176470588238,1.8254696372929538e-13,89.90134600221289,91.17653192012078,95.88261076852518
61,445.08196721311464,1.7428957736387963e-13,110.18752279102115,107.70265977451811,104.42608664074693
71,445.7746478873239,1.3355289476941304e-13,126.1540772830976,123.96154896115408,135.474317228354
81,446.29629629629596,2.3786163030643516e-13,142.22223941657577,143.52209195769382,145.88308312018285
91,446.7032967032965,1.7647112396342463e-13,163.52797817944338,161.68420884962427,164.06089704548
101,447.0297029702971,1.3736939785476676e-13,179.15550448970296,182.82482512920285,189.92866878361204
111,447.2972972972973,8.222403262226795e-14,202.79646619304918,200.02944820384678,200.1615003736688
121,447.5206611570247,9.842734215738014e-14,213.26580054194434,221.39058596645233,214.1480796001078
131,447.70992366412224,1.4829884368735828e-13,237.08552813352026,239.03921794498885,236.3546183191992
141,447.87234042553206,1.0172503361582111e-13,252.61870672530605,257.50556438399497,262.1630732569747
151,448.0132450331127,1.2097587871662876e-13,268.49931240196923,277.96086230433843,274.03353686013406
161,448.13664596273327,1.9430821864460676e-13,295.9212817666207,294.34340821053445,285.8209712579582
171,448.2456140350877,1.1352523588054952e-13,302.51166041705227,316.6356799145051,310.53181838606133
181,448.3425414364641,1.1286350248399733e-13,324.23712979695756,328.59935676383816,324.4816489356447
191,448.4293193717276,5.712435791628527e-14,344.00571367603004,333.46854819632966,344.0918316034344
201,448.5074626865671,1.3953241085490668e-13,363.27028413078233,355.7398580124787,362.4605248283158
211,448.5781990521327,5.945012331969189e-14,381.959614688206,379.69309491859474,386.2458031673446
221,448.64253393665143,8.880714442787429e-14,400.32296364142974,395.7842588962807,394.3947827778654
231,448.7012987012986,8.124289384148952e-14,408.79633834388005,416.6926017038831,421.8705884622601
241,448.7551867219917,7.341188551965252e-14,432.83416654064047,436.43613862579986,434.6830068888305
251,448.804780876494,6.021354724287816e-14,442.24345101647583,456.1436102400245,456.8683382300327
261,448.8505747126437,6.94708527629406e-14,460.6122219873983,479.8797688509214,477.30221324864937
271,448.8929889298893,5.32714955343026e-14,483.06979372655167,492.04258556353767,489.10070401425173
281,448.93238434163703,1.01280814213538e-13,515.8034903886958,514.9421604341009,510.0051451407762
291,448.9690721649485,6.110216849562908e-14,519.50670590423,522.8158266890786,549.6837544377413
301,449.0033222591363,1.2361914021676733e-13,528.1793585257918,554.0397529376883,545.2496576812282
311,449.0353697749197,6.386869844862403e-14,564.6550562085204,559.2554387323046,566.1518841148784
321,449.0654205607477,6.359676842357158e-14,578.3430474844736,581.033214699206,583.0347068779934
331,449.09365558912384,9.524376559780436e-14,588.5951615730057,610.5479860671181,604.6944234563473
341,449.1202346041055,5.76362810250497e-14,625.0567599407251,613.4850907746177,622.5807975230441
351,449.1452991452989,1.5067551770213045e-13,634.9422291615065,645.8113886814411,636.2244560143384
361,449.1689750692521,5.2694911220046237e-14,653.8126629106774,646.6335427524255,663.803345976667
371,449.19137466307274,6.352744808713629e-14,675.2874534828284,665.4053214652603,678.8557271500633
381,449.2125984251969,9.07554789073359e-14,684.9260996373396,688.3366746556675,700.9018325446224
391,449.23273657288996,6.70612190056711e-14,697.6365380354104,706.0082959332556,706.0449191090969
401,449.25187032418944,1.2165747245914667e-13,727.7979793796753,732.9724171523935,732.7880755272732
411,449.27007299270076,9.147119161174362e-14,757.25405098471,756.7441357519141,753.8071327567527
421,449.28741092636574,6.168588424420962e-14,778.729015373249,758.0610953341356,762.685518540101
431,449.30394431554527,7.532752323915992e-14,771.4198006748577,789.6360289105434,775.693890122768
441,449.3197278911566,1.047692356122817e-13,803.7989522893849,802.1395763459504,810.5861973883755
451,449.3348115299333,1.270537401997278e-13,829.9226793094089,825.083779639783,821.2776283240933
461,449.349240780911,9.518514929793345e-14,816.3664870269251,829.1603992666485,843.0700233698109
471,449.3630573248408,3.094515399421129e-14,864.5265212041512,852.4720272201317,861.8839212806838
481,449.37629937629936,7.520458723432517e-14,879.2286160710871,883.9895041319285,876.40300495788
491,449.3890020366598,5.1316732439283295e-14,893.8699238628939,884.2587699709937,880.1266186301831
